Document name,Link to resource,Description,Difficulties using this object,Use of this object,Find location,Language(s),Date (if available)
Mortgage contract,https://idp.bl.uk/collection/688C8850D4AF4158A65FB29CEFC10E9A/?return=%2Fcollection%2F%3Fterm%3Dcontract ,"<p>A mortgage contract:</p>
<ul>
<li>Two brothers of poor means </li>
<li>Mortgage two parts of their inherited estate (two and half mou of land) for four years</li>
<li>Mortgage land to their neighbour Luo Sichao</li>
<li>15 piculs of wheat given as mortgage</li>
<li>Two witnesses to the contract named</li>
</ul>","<p>This contract is complete, but it is difficult to contextualise. We do not know what happened before or after, nor do we know exactly where it took place.</p>",<p>It tells us about the value of land in this time period and the way in which mortgage contracts were written and authenticated.</p>,Dunhuang Mogao,Chinese,953
The Book of Zambasta,https://idp.bl.uk/collection/20DD6A04679D41E0806AA8CEABF2FDAF/?return=%2Fcollection%2F%3Fterm%3DOr.9614%252F5 ,"<ul>
<li><span>Important local Buddhist composition from Khotan. </span></li>
<li><span>It is a ‘metrical’ or poetic account of various different aspects of Buddhism. </span></li>
<li><span>It also tells significance in the history of Khotanese Buddhism.</span></li>
<li><span><span>It is an important source in deciphering the Old Khotanese language.</span></span></li>
</ul>","<ul>
<li>Some words from the documents have been disappeared and sides of the document are also torn a part which makes it difficult to interpret some words.  </li>
<li>The original title of the text is also unknown. </li>
</ul>","<ul>
<li>This document tells us how different aspects of Buddhism was spread at that time through a poetic language which usually attracts people.</li>
<li> Moreover, it also tells us about the importance of Khotanese language as numerous copies were made up until 10th century.</li>
</ul>",Khotan,Khotanese language,600
Fragment of Tangut Mahaprajnaparamita sutra,https://idp.bl.uk/collection/59757384FE164BABB0E587A8A5DBE091/?return=%2Fcollection%2F%3Fterm%3DOr.12380%252F2146 ,"<ul>
<li>
<p>This piece of document is from a Tangut copy of the Mahaprajnaparamita sutra which was discovered in Kharakhoto.<span style=""font-family:'-apple-system', BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Arial, 'Noto Sans', 'Liberation Sans', sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol', 'Noto Color Emoji';font-size:1rem;""> </span></p>
</li>
<li>
<p><span style=""font-family:'-apple-system', BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Arial, 'Noto Sans', 'Liberation Sans', sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol', 'Noto Color Emoji';font-size:1rem;"">The Mahaprajnaparamita sutra is a collection of Prajna Paramita sutras.</span></p>
</li>
<li>
<p>They used to translate sutras into the Tangut language.</p>
</li>
</ul>","<ul>
<li>The document is damaged and torn, some letters are also not clearly visible because of some liquid. This makes it hard to understand the full sentence.</li>
<li>The document only has the last chunk left. As a result we have a big chunk missing from the start. </li>
</ul>",<p>It tells how much the <span>Tangut Empire gave importance to their religion and how the people spread Buddhism through translating the Buddhist text into Tangut language. </span></p>,Kharakhoto,Tangut language ,1200
Document on Leather,https://idp.bl.uk/collection/ACCBD6D0BA754A78B125419DD22BB749/?return=%2Fcollection%2F%3Fterm%3Ddocuments ,"<p><span>This is a complete, but much discoloured and rotted document on leather. The Kharosthi scripts at the front of the tablet are cursive, black and partly deleted.</span></p>","<p>It is a bit torn from the middle and the ink is faded, which is why it can't be read properly</p>","<p>It can provide insights into ancient languages, scripts, historical events, religious practices, trade, governance, and societal structures. It can be invaluable for historians, archaeologists, linguists, and scholars studying the ancient civilizations of the region. They contribute to our understanding of the past and help piece together the puzzle of human history. </p>",Niya,Gandhari Prakrit (lang.) Kharosthi (script),
Chinese document from Turfan,https://idp.bl.uk/collection/67E9E446B8B144DA922F874F30661B04/?return=%2Fcollection%2F%3Fterm%3Ddocuments ,"<p><span>Rong Xinjiang identifies this as a late document from Turfan.</span></p>
<p><span><span>Height 37.1 centimetres, width 38.1 centimetres</span></span></p>
<p><span><span>Material Used: Manuscript and Ink on Paper<a class=""facet-link"" href=""https://idp.bl.uk/collection/?material%5B%5D=manuscript%2C%20ink%20on%20paper""><br /></a></span></span></p>",<p>The ink is a bit faded</p>,"<div class=""flex-1 overflow-hidden"">
<div class=""react-scroll-to-bottom--css-fjdeq-79elbk h-full"">
<div class=""react-scroll-to-bottom--css-fjdeq-1n7m0yu"">
<div>
<div class=""flex flex-col text-sm pb-9"">
<div class=""w-full text-token-text-primary"">
<div class=""px-4 py-2 justify-center text-base md:gap-6 m-auto"">
<div class=""flex flex-1 text-base mx-auto gap-3 juice:gap-4 juice:md:gap-6 md:px-5 lg:px-1 xl:px-5 md:max-w-3xl lg:max-w-[40rem] xl:max-w-[48rem] group final-completion"">
<div class=""relative flex w-full flex-col agent-turn"">
<div class=""flex-col gap-1 md:gap-3"">
<div class=""flex flex-grow flex-col max-w-full"">
<div class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<p>It can offer valuable clues about Turfan and the society that produced it.</p>
</div>
</div>
</div>
<div class=""mt-1 flex gap-3 empty:hidden""> I<span>t could also hold significant historical or cultural value.</span></div>
<div class=""pr-2 lg:pr-0""> </div>
</div>
<div class=""absolute""> </div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<div class=""w-full pt-2 md:pt-0 dark:border-white/20 md:border-transparent md:dark:border-transparent md:w-[calc(100%-.5rem)]""> </div>",Karakhoja,Chinese,1644
Ink and color on paper: Six female spirits to protect children.,https://idp.bl.uk/collection/A4B515259F294F7FB00ABE5778861C0F/?return=%2Fcollection%2F%3Fpage%3D2%26term%3Ddocuments%2Brelated%2Bto%2Beveryday%2Blife%2Bof%2Bpeople%2Bof%2Bsilk%2Broads%26material%255B%255D%3Dink%2Band%2Bcolours%2Bon%2Bpaper ,"<ul>
<li>
<ul>
<li>
<p>Three Pōthī fols. with paintings of demons, and Chin. and Brāhmī inscriptions referring to same. </p>
</li>
<li>
<p> Six demons, painted and occupying one half of leaf in both cases.</p>
</li>
</ul>
<ul>
<li>
<p><span class=""TextRun SCXW5996174 BCX0"" lang=""en-us"" xml:lang=""en-us"">The upper half of the object depicts a figure with a stag's head and partially preserved deer hooves. It holds a young child in its arms.</span><span class=""EOP SCXW5996174 BCX0""> </span></p>
</li>
<li>
<p><span class=""TextRun SCXW5996174 BCX0"" lang=""en-us"" xml:lang=""en-us""><span class=""NormalTextRun SCXW5996174 BCX0"">On the reverse side, there is a figure with an ox's head and hooves, with dark blue flesh. It holds a </span><span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2Themed SCXW5996174 BCX0"">noose</span><span class=""NormalTextRun SCXW5996174 BCX0""> in its right hand, and </span><span class=""NormalTextRun SCXW5996174 BCX0"">there's</span><span class=""NormalTextRun SCXW5996174 BCX0""> an undetermined object in its left hand.</span></span><span class=""EOP SCXW5996174 BCX0""> </span></p>
</li>
</ul>
</li>
<li><span class=""TextRun SCXW5996174 BCX0"" lang=""en-us"" xml:lang=""en-us"">Between the feet of the figure on the reverse side, there lies an infant wrapped in swaddling bands.</span><span class=""EOP SCXW5996174 BCX0""> </span></li>
</ul>","<ul>
<li>The document has been written in two languages.</li>
<li>It is a mythical document mostly reflecting the beliefs of the people in spiritual beings. So, it is hard to understand and contextualise as it is difficult to predict from the document that the demons/spirits are intended to protect children.</li>
<li>Moreover, the document has being torn in centre and sides.</li>
<li>The ink and colour on the paper is also faded a little bit.</li>
</ul>","<ul>
<li>This document could have been used in spiritual context to protect children from evil.</li>
<li>Could have been used as decorative or symbolic elements in temples, shrines, and ceremonial places.</li>
<li>Its usage might be connected with the belief system of people of ancient times.</li>
</ul>",Dunhuang Mogao,Khotanese and Chinese ,800
Water rights contract,https://idp.bl.uk/collection/9E2AAF6DDE994FE7B45AEFEC0EFE8DA2/?return=%2Fcollection%2F%3Fterm%3Dcontracts%2520to%2520study%2520the%2520everyday%2520lives%2520of%2520people%2520on%2520the%2520Silk%2520Roads. ,"<ul>
<li><span>A legal contract concerning water rights written on a double wooden tablet.</span></li>
<li><span><span>This was acquired by the British Consul-General in Kashgar, N. Fitzmaurice, Esq., and presented to the British Museum on 14 July 1923. It is probably from around Dandan-Uliq. </span></span></li>
<li><span><span>It contains two versions of the same document, the one written on the inside of the cover and the top of the undertablet is more extensive.</span></span></li>
<li><span><span> It concerns the sale of water rights from a pool by the judge Bara and Bramgala to Yagura for 2500 muras. The hole on the top is for a clay seal.</span></span></li>
</ul>","<ul>
<li><span style=""font-size:1rem;""><span style=""font-size:1rem;""><span style=""font-size:1rem;"">The tablet has dark and light shades. Dark for the regions that are exposed to moisture and the ink on wood in dark regions is faded so it is hard to read.</span></span></span></li>
<li>The structure of the document is unique and is difficult to predict the reason behind documenting a legal contract in this form.</li>
</ul>",<p>It tells us about the value of water in this time period and the way legal contracts were written. It also shows the creativity of people living in this time period.</p>,Dandan Uiliq,Khotanese (lang.) Brahmi (script),730
"Paper Fragment, Document On Leather, Fragment",https://idp.bl.uk/collection/6D58F921985A4803B0DCE4E56E4D0A4A/?return=%2Fcollection%2F%3Fterm%3DDocuments%2520used%2520by%2520historians%2520to%2520study%2520life%2520of%2520people%2520on%2520silk%2520roads ,<p><span>This document consists of 2 pieces of leather fragments. There is a date in short 1.Khar. with numerals clearly and easily found on the back of the fragments.</span></p>,"<p><span>1) Leather fragments may be incomplete or damaged, making it challenging to decipher the entire text or understand its context.</span></p>
<p><span>2) <span>Understanding the cultural and linguistic context of the inscription may require knowledge of ancient languages and historical cultures associated with the Silk Road.</span></span></p>
<p><span>3) </span>Even when the script is deciphered , interpreting the meaning of the text and its significance within the historical context can be subjective and open to interpretation.</p>
<p> </p>","<p>1) <span>Dates, events, and historical contexts mentioned in these fragments contribute to the chronological reconstruction of Silk Road history, enabling historians to map out the development and evolution of societies and cultures over time.</span></p>
<p>2)<span>They provide evidence of the types of materials and goods exchanged along the Silk Road, shedding light on trade routes, commodities, and cultural interactions.</span></p>
<p>3) <span>By studying the content of these fragments, we can gain insights into the daily lives, customs, beliefs, and social structures of the people living along the Silk Road, enriching our understanding of ancient civilizations.</span></p>",Niya,Gandhari Prakrit (lang.) Kharosthi (script),
"Sutra-Wrapper , Silk and paper",https://idp.bl.uk/collection/B048CBDC8DDD45BDAE2F8EEBFB0AE775/?return=%2Fcollection%2F%3Fmedia%3Dyes%26term_material%255B%255D%3Dmc%253Ahistory%2Bof%2Bsilk%2Broute%26classification%255B%255D%3DTextile%26material%255B%255D%3Dsilk%2Band%2Bpaper ,"<p><span>Silk MS.-roll cover, complete. Body made of rectang. piece of plain pink silk, backed with coarse paper, and stiffened with wooden strainer at each end. All round a 2″ border of thick figured silk, and at one end are attached three broad bands of same—one in middle projecting c. 8″ beyond edge of cover, and one at each side of it converging to meet the first near its outer end. To either end of middle band are sewn tapes of coarse linen for tying up cover when rolled round manuscript.</span></p>","<p><span>1)The delicate nature of silk and paper means that the articles may be prone to damage, decay, or deterioration over time, making it difficult to handle and preserve.</span></p>
<p><span>2)Deciphering the meaning of symbols and patterns on paper and silk may require lingusitic knowledge and expertise.</span></p>
<p><span> </span></p>
<p><span> </span></p>","<p><span>1) Studying this object can provide clues about social hierarchies, economic prosperity, and cultural patronage along the Silk Road.</span></p>
<p><span>2) <span>It offers an insight into the craftsmanship and material culture of the time period.</span></span></p>
<p><span><span> </span></span></p>
<p><span><span><span> </span></span></span></p>",Dunhuang Mogao,Chinese,700
Pothi Buddhist manuscript in Sanskrit on silk.,https://idp.bl.uk/collection/D84CDAC8641E41AEAF379C8DDFAC38A7/?return=%2Fcollection%2F%3Fterm_material%255B%255D%3Dmc%253AHistory%252Bof%252Bsilk%252Broad%26classification%255B%255D%3DManuscript%2B%2528inc.%2Bblockprint%2529 ,"<p>This is the only known example of a manuscript on silk - a tradition from China - cut into pothi shape - a tradition from south Asia. It has been covered with a chalk ground to take the ink, which has been written in pen. It was discovered below a niche, at the base of a brick stupa inside the fort at Bash-Koyumal.</p>","<p>1- This document is incomplete and damaged, which makes it difficult for the historian and people who are studying it.</p>
<p>2- To understand the essence of the document or the meaning of text, written on it, the people studying it need to have knowlegde of the ancient language and if language is still understandable still, reader should have some historic and contextual understanding about it.</p>","<p>1- <span class=""oXzekf""><span class=""oXzekf"">The manuscript's production is evidence of the well-established network of trade routes and communication channels that existed in the 11th century Buddhist world.<span class=""UV3uM""> </span></span></span></p>
<div class=""NPrrbc"">2- <span>The manuscript has been covered with chalk ground to take ink, which has been written in pen. </span><span>The manuscript contains all major genres and divisions of Buddhist literature, and provides a new basis for scholarly understanding of the early history of Buddhism and the way that texts were used in early Buddhist monasteries.</span></div>
<p><span class=""oXzekf"" style=""color:#2e1500;font-family:'Google Sans', Roboto, 'Helvetica Neue', Arial, sans-serif;font-size:18px;""><span class=""UV3uM""> </span></span></p>",Bashkoyumal,Sanskrit (lang.) Gupta (script),500
